zpid_index,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_openHouse,listingSubType.is_bankOwned,listingSubType.is_FSBA,newConstructionType,listingSubType.is_newHome,listingSubType.is_forAuction,unit,listingSubType.is_foreclosure
25177995,,SINGLE_FAMILY,7770.0,"3607 Burly Ave, Orange, CA 92869",https://photos.zillowstatic.com/fp/ecc3a08de2c1e0ff621eba5099379463-p_e.jpg,988888,4.0,-117.814865,33.78591,FOR_SALE,25177995,,-1,2.0,1425.0,USA,USD,sqft,True,,,True,,,,,
122244089,,SINGLE_FAMILY,5260.0,"23 Snowberry, Lake Forest, CA 92630",https://photos.zillowstatic.com/fp/ee472b32b4179cae90900a8c676b7cb6-p_e.jpg,1900000,5.0,-117.68632,33.668835,FOR_SALE,122244089,,-1,5.0,3066.0,USA,USD,sqft,True,,,True,,,,,
25209417,,SINGLE_FAMILY,6000.0,"17261 Lido Ln, Huntington Beach, CA 92647",https://photos.zillowstatic.com/fp/3ef68a34e97667af11cf984a4d0f317c-p_e.jpg,1475000,4.0,-118.01939,33.711437,FOR_SALE,25209417,,-1,4.0,2298.0,USA,USD,sqft,True,,,True,,,,,
25634345,,SINGLE_FAMILY,7275.0,"32722 Brookseed Dr, Trabuco Canyon, CA 92679",https://photos.zillowstatic.com/fp/ce4b447ed9830de7f8ab3d05228e1dc5-p_e.jpg,1589900,4.0,-117.561005,33.653492,FOR_SALE,25634345,,-1,3.0,3018.0,USA,USD,sqft,True,True,,True,,,,,
25573947,,SINGLE_FAMILY,9500.0,"23312 Vista Carillo, Laguna Niguel, CA 92677",https://photos.zillowstatic.com/fp/977d813c0914e2dce2eb88c5d7abf642-p_e.jpg,1999000,4.0,-117.72319,33.52062,FOR_SALE,25573947,,-1,3.0,3400.0,USA,USD,sqft,True,,,True,,,,,
25603906,,SINGLE_FAMILY,1901.0,"26532 Lucinda, Mission Viejo, CA 92691",https://photos.zillowstatic.com/fp/5e335963f6c7863b9d555be54696f466-p_e.jpg,840000,3.0,-117.6664,33.577324,FOR_SALE,25603906,,-1,3.0,1943.0,USA,USD,sqft,True,True,,True,,,,,
54972302,,SINGLE_FAMILY,4341.0,"12 Larchwood, Irvine, CA 92602",https://photos.zillowstatic.com/fp/3d1db6f6a5b55bf3d216d82d9d44c7de-p_e.jpg,1598888,4.0,-117.765686,33.738503,FOR_SALE,54972302,,-1,3.0,2070.0,USA,USD,sqft,True,,,True,,,,,
25449113,,SINGLE_FAMILY,7300.0,"17331 Village Dr, Tustin, CA 92780",https://photos.zillowstatic.com/fp/378017790ce9b8438acbf2dfb6a83c33-p_e.jpg,949900,4.0,-117.829994,33.75262,FOR_SALE,25449113,,-1,3.0,2142.0,USA,USD,sqft,True,,,True,,,,,
25510515,,SINGLE_FAMILY,0.35583103764922,"10461 Cowan Heights Dr, Santa Ana, CA 92705",https://photos.zillowstatic.com/fp/e460b30a7e0152bd4d3d31493d38707f-p_e.jpg,2100000,5.0,-117.77483,33.772385,FOR_SALE,25510515,,-1,3.0,3020.0,USA,USD,acres,True,,,True,,,,,
25388768,,SINGLE_FAMILY,1.436,"5970 Richfield Rd, Yorba Linda, CA 92886",https://photos.zillowstatic.com/fp/883c33230e126242cd3ca25982585898-p_e.jpg,2199000,5.0,-117.82395,33.875175,FOR_SALE,25388768,,-1,4.0,4000.0,USA,USD,acres,True,True,,True,,,,,
